Medium	ARO Level Fund Selector is not refreshed if a user In-Activates a FUND from ARO Admin --> Client Mngt and do a Page Refresh.
Medium	Read Only user is able to start workflow. It should be disabled or Non Active for RO user on Operations --> Agreement Monitor.
Medium	Click on Failed Trade Number is opening a Blank Window. 
Medium	Check Box Allignment Issue on Add Role Pop Up.
Medium	Schedule Job Status
Medium	If a recon is created and scheduled, and afterwards, user inactivates the recon, the scheduler should not process it and it should give error via mail that the scheduled recon is inactivated .
Medium	In consistency in source drop down width, in reconciliation add/edit recon.(UI Issue)
Medium	In Recon Configuration TaskList has Active field , but the system is allowing hard delete of recons. It should allow only soft delete.
Medium	In client Management fund tab, Add/ edit fund modal has "Is Active" field, should be changed to "Active" .
Medium	Scheduling of recon should not be allowed, when more than one funds are selected and recon is created for one and scheduled for another fund.
Medium	In Client Management fund tab, if we inactivate a fund and then click on add, the drop down of parent fund list is still giving the inactive fund's name. The same works fine, when user refreshes the screen.
Medium	Client Management, Funds are not getting saved when any parent fund is being selected, when the user tries to save a new fund. On edit it is working fine.
Medium	Scheduling is allowed on an In-Active Fund. 
Medium	RECON configuration and Run is allowed on an In-Active Fund.
Medium	Creation of source is allowed on In-Active Fund.
Medium	In-Active Fund is available in Source Management --> Fund Picklist.
Medium	In Job Status Tab --> for Workflow Scheduler , the Job-Sub Type pick list is coming as blank despite too many workflows created for the user.
Medium	Scheduling Add screen , category list is not sorted .
Medium	In case of edit or add a new schedule, The display of success message in Scheduler task happens rapidly, and navigates it to the scheduler tasklist grid page.
Medium	In source management , add/edit screen, rename "Is active" field name to active.
Medium	In source management, after deletion of source, the grid is not getting updated until refresh.
Medium	Source Management, delete a source, the success message is displayed in red. "Source deleted successful."
Medium	Audit is not working for - Client Funds(edit/delete/add/active/inactive)
Medium	Audit is not working for - Client Contacts(edit/delete/add/active/inactive)
Medium	Source Management, while adding the mapping manually through Add Button, the system allows to add field with same name.
High	Upload  of DTTC File with Failed Records is not generating workflow in ARO
Medium	Create/Delete of New Source in Source Management is not Auditable.
Medium	Active / Inactive/Edit/Update of Source and its Fields is not auditable.
Medium	Update of Fund Name on Source Mngt is loosing data from Fund Name Field.
Medium	Try update an existing source that is in use, Delete a Field from mapping, gives error message that Field in use so cant delete it an Field gets deleted.
High	Audit | Cosmetic Issues
Medium	Qlik is showing some error message.
Medium	The logout icon in ARO should have a tooltip .
Medium	In recon, when we run two empty files of 0 kb, the system processes the files as "complete" and give the counts of record as 0. Ideally it should atleast give error of headers.
Medium	In recon, the error messages are not displayed in a proper manner. The error message do not specify the row number.
Medium	In recon, the sources filters modal is not opening. Clicking on the icon opens and closes the modal very rapidly. 
Medium	In recon, while creating new recon , while adding the mappings manually, the system accepts the fields with same field name.
Medium	Issue on Mapping of RECON.
Medium	If a Fund have 5 to 6 level of parent child hierarchy, the Fund is having display issue and is not showing it in Fund Selector.
Medium	Suggestion: Across ARO, all input fields i.e., textboxes, dropdown lists, checkboxes, etc. , should be non-editable when read only access is given to the user.
Medium	When in Read Only access, In Workflow, Admin Tab, the user should not be given permissions to perform run, schedule, update or add any workflow rules.
Medium	When in Read Only access, In Workflow, Tasklist Tab, the user should not be given permissions to perform any operations.
Medium	 When in Read Only access,In Confuguration, Validation Rules tab,  the user should not be given Import , save, update or delete options.
Medium	 When in Read Only access, In Configuration, Reference Data Tab, the user should not be given Import , save, update or delete options.
Medium	 When in Read Only access , In Client Management, Client Contact tab, the user should not be given access to add, edit or delete any fund.
Medium	When in Read Only access, In Client Management, Fund tab, the user should not be given access to add, edit or delete any fund.
Medium	When in Read Only access, In user management , User role tab, the user should not be given options to add, edit or delete any user role.
Medium	When in Read Only access, the Aggrement Monitor screen is giving option to import files.
Medium	When in Read Only access, The Middle Office Tab should not give user options to claim,unclaim,etc.
Medium	When in Read Only access, Recon should not be given run and schedule options in Recon Task List
Medium	When in Read Only access, AIFMD module should not give SAVE option .
Medium	When in Read Only access, In Regulatory SDR, the user is given all access to group, ungroup ,claim etc operations , in all the sub-menus .
Medium	When in Read Only access, in Inbox Screen for all the tabs, user is getting access to perform operations on the data.
Medium	In read only access, The Scheduling grid should not display options of run, delete, enable , disable etc.
Medium	The Scheduling grid is showing records of another fund too. The grid should display fund specific records.
Medium	In role management when checking the "Write ", "Read " checkboxes also gets checked but visiting that page after save is not persisting the read checkboxes.
Medium	File Naming Convention field in recon configuration is indicated as mandatory field, but leaving it blank also saves the configuration
